Title,Date,Description
Business Engineer mit OneIdentity Manager-Erfahrung (m/w/d) - 100% Remote - Start 01.03.2024!,31.01.2024,"Momentan suche ich für meinen Kunden aus Frankfurt am Main einen kurzfristig verfügbaren Business Engineer Freelancer mit OneIdentity Manager-Erfahrung ein 100% Remote Projekt.

Das Projekt:
Start: 01.03.2024, gerne früher
Länge: 6 Monate (Verlängerung möglich)
Ort: 100% Remote (Endkunde sitzt in Frankfurt am Main)
Sprache: Deutsch

Zu deinen Aufgaben zählen:
• Erstellung von umfangreichen Fachkonzepten;
• Durchführung von Refinements;
• Anforderungserhebung & Dokumentation.

Dein Background (!Selbsteinschätzung auf der Skala: 1-10!):
• Requirements Engineer/Business Analyst-Erfahrung;
• Identity und Access Management-Erfahrung (IAM);
• Tools: OneIdentity Manager.

Du hast Interesse und bist zeitnah verfügbar? Dann melde dich gerne mit aktuellem CV, deiner projektbezogenen Selbsteinschätzung und deinem Stundensatz.
Gerne können wir uns dann über die Projektdetails telefonisch austauschen."
IT-Akquisiteur/in für Kundenakquise in IT-Projekten gesucht,31.01.2024,"Als IT-Akquisiteur/in sind Sie verantwortlich für die Akquise neuer Kunden für unsere IT-Projekte. Ihre Aufgaben umfassen die Entwicklung und Umsetzung von Akquisestrategien, die Generierung von Leads sowie die Pflege von Kundenbeziehungen. Sie führen Akquise- und Vertriebsgespräche, erstellen Angebote und Präsentationen und unterstützen den Vertrieb bei der Auftragsabwicklung.

Aufgaben:
Generierung von Leads und Kontakten
Aufbau und Pflege von Kundenbeziehungen
Durchführung von Akquise- und Vertriebsgesprächen
Erstellung von Angeboten und Präsentationen
Unterstützung des Vertriebs bei der Auftragsabwicklung

Qualifikationen:
Erfolgreich abgeschlossene Berufsausbildung oder Studium im Bereich IT, Marketing oder Vertrieb
Mehrjährige Berufserfahrung in der IT-Branche
Fundierte Kenntnisse der IT-Branche und der relevanten Technologien
Sehr gute Kommunikationsfähigkeiten, sowohl schriftlich als auch mündlich
Hohe Eigeninitiative und Motivation, Teamfähigkeit

Ihr Profil
Sie haben eine erfolgreich abgeschlossene Berufsausbildung oder ein Studium im Bereich IT, Marketing oder Vertrieb. Sie verfügen über mehrjährige Berufserfahrung in der IT-Branche und haben fundierte Kenntnisse der IT-Branche und der relevanten Technologien. Sie sind ein kommunikativer und motivierter Mensch mit hoher Eigeninitiative und Teamfähigkeit.

Interessiert?

Dann freuen wir uns auf Ihre Bewerbung. Bitte senden Sie uns Ihren Lebenslauf und ein Anschreiben zu."
Python Developer,31.01.2024,"We are currently looking for 2 x Freelance Python Developers to work with a Financial Services company in Germany on a fully remote basis.

The company has a SASS product which enables the company to offer better interest rates to certain customers and due to this requires an additional 2 freelancers to assist them on this project.

Tech needed:
- Core Python 3.11.0
- Skilled with writing Unit Tests
- CI/CD experience
- Microservices experience with AWS
- Need to have strong Financial Services experience

This will be an initial 6-month project with a strong chance of extension for another 6 months.

We have interview slots for next week and are looking for candidates to be able to start before March.

If you are interested, please respond to this message and we can schedule a quick phone call"
Python Developer,31.01.2024,"We are currently looking for 2 x Freelance Python Developers to work with a Financial Services company in Germany on a fully remote basis.

The company has a SASS product which enables the company to offer better interest rates to certain customers and due to this requires an additional 2 freelancers to assist them on this project.

Tech needed:
- Core Python 3.11.0
- Skilled with writing Unit Tests
- CI/CD experience
- Microservices experience with AWS
- Need to have strong Financial Services experience

This will be an initial 6-month project with a strong chance of extension for another 6 months.

We have interview slots for next week and are looking for candidates to be able to start before March.

If you are interested, please respond to this message and we can schedule a quick phone call"
Python Developer,31.01.2024,"We are currently looking for 2 x Freelance Python Developers to work with a Financial Services company in Germany on a fully remote basis.

The company has a SASS product which enables the company to offer better interest rates to certain customers and due to this requires an additional 2 freelancers to assist them on this project.

Tech needed:
- Core Python 3.11.0
- Skilled with writing Unit Tests
- CI/CD experience
- Microservices experience with AWS
- Need to have strong Financial Services experience

This will be an initial 6-month project with a strong chance of extension for another 6 months.

We have interview slots for next week and are looking for candidates to be able to start before March.

If you are interested, please respond to this message and we can schedule a quick phone call"
Data Scientist (m/w/d) im Bereich Zahlungsverkehr und Fraud Detection | Page Contracting,31.01.2024,"Für unseren Kunden suchen wir einen Data Scientist (m/w/d) im Bereich Zahlungsverkehr und Fraud Detection.

Start:  01.04.24
Laufzeit: 3 Monate mit Option auf Verlängerung
Standort: Remote
Auslastung;: Vollzeit
 
Aufgaben:
-Unterstützung im Bereich Betrugserkennung im Zahlungsverkehr (Fraud Detection)
-Entwicklung von KI-Methoden für konkrete Vergleiche von Zahlungen
-Betrachtung des Gesamtsystems zur Verfeinerung der Abläufe 
 
Skills:
-Erfahrung im Bereich Fraud Detection
-Erfahrung mit NVIDIA Triton Inference Server
-Erfahrung im Bereich Bankwesen/Zahlungsverkehr

 Klingt das Projekt interessant?
 
Ich freue mich auf Ihre Rückmeldung mit folgenden Informationen:
- Ihre aktuelle Projektverfügbarkeit (frühester Start)
- Ihre maximale Auslastung/Woche insgesamt
- Können Sie diese Auslastung regelmäßig anbieten?
- Ihr Stundensatz (Vor Ort / Remote)
- Ihr aktuelles Profil
- Eine kurze Rückmeldung zur Passgenauigkeit (gehen Sie bitte auf die oben aufgeführten Punkte ein)

Beste Grüße
Jan Bruins"
Transformation Manager (m/w/d) | Salesforce Roll-Out - Projekt Nr. 1368,31.01.2024,"Für unseren Kunden suchen wir einen Transformation Manager / Programm Manager (m/w/d) mit sehr guten Kenntnissen in Salesforce. 

Start: gerne ab Mitte März, ein Start im April ist möglich 
Einsatzort: Remote, München (Bereitschaft bei wichtigen Abstimmungen vor Ort zu leisten)
Laufzeit: 6 Monate ++
Auslastung: gerne 80%, 60% nach Absprache möglich 

Unser Kunde hat sich im Dezember 23 dazu entschieden Workday und Salesforce flächendeckend über das gesamte Unternehmen auszurollen. Um diese ""globale Plattform"" erfolgreich auszurollen, sowie alle notwendigen Schnittstellen zu steuern, möchte unser Kunde das bereits vorhandene Team um einen externen Experten erweitern.


Aufgaben und Anforderungen:

	- Sie unterstützen unseren Kunden im Rahmen eines globalen Harmonisierungsprojekt (Workday & Salesforce) 
	- Sehr gute Kenntnisse in Salesforce (idealerweise CPQ & Sales Cloud)
	- Starke Prozesskompetenz im Bereich FiCo, Procurement, Sales/Services, FRM, CPQ
	- Starke Kompetenz in Prozessharmonisierungen über Länder, Entitäten, Business Modelle, etc.
	- Sie sind die Schnittstelle zwischen IT, fachlichen Ansprechpartnern und externen Dienstleistern  (Sparring)
	- Technisches (Architektonisches) Verständnis in Bezug auf SF
	- Idealerweise Kenntnisse in Workday (nice to have, da intern Expertise vorhanden)


	Haben Sie freie Kapazitäten und können unseren Kunden unterstützen?
	Ich freue mich auf Ihre Rückmeldung mit der Projektnummer und folgenden Informationen an Civelek@greysolutions.de:
	• Ihre aktuelle Projektverfügbarkeit (frühester Start)
	• Ihre maximale Auslastung/Woche insgesamt
	• Ihr Stundensatz
	• Ihr aktuelles Profil (idealerweise im pdf Format)
	• Ihre Einschätzung zu den geforderten Anforderungen
	
	
Wir bearbeiten alle Rückmeldungen und geben immer unser Bestes, uns bei allen Kandidaten (m/w/d) zurückzumelden. Leider ist dies nicht immer möglich, wir bitten um Ihr Verständnis. Wenn wir uns innerhalb von 5 Werktagen nicht bei Ihnen melden, gehen Sie bitte davon aus, dass der Kunde sich für einen anderen Kandidaten entschieden hat. 
	
Beste Grüße
Elvan Civelek"
Power Automate Experte (m/w/d),31.01.2024,"Für unseren Kunden sind wir auf der Suche nach einem Power Automat Experten (m/w/d), der bei Bedarf den Fachbereich unterstützt im Projekt für eine Laufzeit von mindestens einem Jahr mit Option auf Verlängerung und einer Auslastung von ca. 10% komplett remote.

Ihre Aufgaben
Es wird ein Power Automate Freelancer gesucht, welcher langfristig bestimmte Work Flows betreut und weiterentwickeln soll. Die Prozesse wurden bereits automatisiert und sollen weiter vorangetrieben werden. Es geht vorrangig um Google Forms.

Unsere Anforderungen
Power Automate Wissen mit mindestens ein Jahr Erfahrung
Zuverlässige und selbständige Umsetzung und Arbeitsweise
sehr gute Deutschkenntnisse in Wort und Schrift"
Optimierung der Google Search Console und Einrichtung eines neuen Webshops,31.01.2024,"Für dieses Projekt suchen wir einen erfahrenen Freelancer, der sich bestens mit der Google Search Console auskennt. Die Aufgabe besteht darin, die Meldungen von Google bezüglich Fehler und Anpassungen in der Search Console zu analysieren und entsprechende Maßnahmen umzusetzen. Es geht um einen kürzlich gelaunchten Webshop. Obwohl es sich um keine umfangreiche Aufgabe handelt, ist es wichtig, dass der Freelancer über fundierte Kenntnisse in der Google Search Console verfügt und die erforderlichen Anpassungen professionell durchführen kann. Eines vorweg: sehr schmales Budget."
"Webdeveloper (m/w/d) Teilzeit, 100% Remote",31.01.2024,"Für unseren Kunden suchen wir aktuell einen Webdeveloper (m/w/d) in Teilzeit, 100% Remote.

Rahmendaten: 
Start: ASAP
Dauer: 12 Monate +
Auslastung: 5-15 Std. pro Woche
Remote:  100%
Sprachen: Deutsch, Englisch


Anforderungen: 
-	Nachbau des aktuellen Shops in einem neuen Shopsystem JTL-Shop mit HTML und CSS

Erfahrungen:
-	HTML und CSS Know-How, grundlegendes Webdevelopment Verständnis"
